Carte,Origine,Destination,Temps CPU Dijkstra (en ns), Nb Sommets, Temps CPU A* (en ns), Nb Sommets
bretagne.mapgr,277198,562177,73431000,52831,12313000,7152
bretagne.mapgr,510476,222168,154686000,48239,9325000,8229
bretagne.mapgr,655131,605009,87493000,51952,8765000,5863
bretagne.mapgr,372706,515285,147164000,91782,4172000,4209
bretagne.mapgr,50072,56520,107913000,183982,49652000,53825
bretagne.mapgr,635732,429283,55988000,48603,8141000,6044
bretagne.mapgr,230946,477976,206821000,61511,8277000,5842
bretagne.mapgr,492432,438894,69849000,61497,10188000,9284
bretagne.mapgr,421624,429030,202458000,85307,10436000,8316
bretagne.mapgr,116524,420593,77526000,82812,27533000,17474
bretagne.mapgr,317495,483810,105187000,92580,10497000,7538
bretagne.mapgr,291673,196435,132611000,95351,11907000,9975
bretagne.mapgr,632753,431981,41182000,42317,7234000,7177
bretagne.mapgr,92937,549530,265671000,112138,45490000,26355
bretagne.mapgr,270123,341187,42012000,38359,3767000,3070
bretagne.mapgr,137747,3726,192042000,178246,69685000,67298
bretagne.mapgr,33914,622697,79322000,86214,49029000,42018
bretagne.mapgr,325299,204941,184152000,136290,5325000,5195
bretagne.mapgr,162062,401071,395059000,217476,29989000,16437
bretagne.mapgr,153207,402894,74800000,58442,6734000,5673
bretagne.mapgr,634326,514153,126787000,84007,7200000,5935
bretagne.mapgr,521990,457941,56536000,55638,8232000,8737
bretagne.mapgr,439293,446803,26710000,31218,4275000,4920
bretagne.mapgr,78644,177967,134022000,202309,31590000,18679
bretagne.mapgr,167721,86980,38580000,55970,16188000,22273
bretagne.mapgr,214240,140568,279515000,92108,66850000,27480
bretagne.mapgr,431277,256793,166723000,66698,9724000,3984
bretagne.mapgr,150820,372120,120810000,82913,25279000,13728
bretagne.mapgr,148750,627907,125091000,50678,11972000,5340
bretagne.mapgr,299776,358173,106249000,64677,27907000,12589
bretagne.mapgr,472945,488252,201563000,140017,19866000,11486
bretagne.mapgr,394112,117517,68086000,63695,4942000,5413
bretagne.mapgr,490193,350579,288054000,110611,23441000,10697
bretagne.mapgr,275957,606065,40061000,86252,17560000,14569
bretagne.mapgr,387005,582269,177351000,49511,46814000,7519
bretagne.mapgr,439880,74001,169526000,182429,44400000,32080
bretagne.mapgr,567133,150300,154219000,56129,16943000,11555
bretagne.mapgr,76583,337436,92588000,86497,28338000,22328
bretagne.mapgr,299503,315386,134201000,51012,12155000,6566
bretagne.mapgr,556194,33615,47940000,42366,13756000,8301
bretagne.mapgr,208438,477423,187065000,78154,19279000,11410
bretagne.mapgr,650242,191400,43396000,46727,6478000,6263
bretagne.mapgr,390987,14185,190563000,75092,41098000,29449
bretagne.mapgr,194104,402121,195887000,140216,289389000,1546813
bretagne.mapgr,196111,38836,80989000,44580,6612000,4382
bretagne.mapgr,347817,254233,174994000,89741,15368000,13845
bretagne.mapgr,30829,173012,79344000,177353,31929000,27864
bretagne.mapgr,358945,295410,148443000,118474,18289000,16748
bretagne.mapgr,478386,438600,107659000,81171,92816000,12881
bretagne.mapgr,533432,533292,89953000,65582,8993000,5612
bretagne.mapgr,354247,311532,230997000,85377,11093000,10076
bretagne.mapgr,399260,314641,35385000,45693,6841000,6813
bretagne.mapgr,355801,343525,78939000,67506,4049000,4530
bretagne.mapgr,163385,516087,201528000,54437,20454000,18127
bretagne.mapgr,207261,577894,149992000,127437,61503000,40144
bretagne.mapgr,582923,414940,23695000,23413,1311000,795
bretagne.mapgr,11043,266993,119402000,191929,4882000,5871
bretagne.mapgr,112805,276628,179879000,140545,4578000,5005
bretagne.mapgr,214743,332785,234395000,110211,39201000,24424
bretagne.mapgr,298980,497719,97847000,69175,13382000,9902
bretagne.mapgr,43044,379083,234728000,93507,10034000,9707
bretagne.mapgr,172250,99172,32832000,39964,4857000,5323
bretagne.mapgr,273578,582451,55079000,55845,8734000,10005
bretagne.mapgr,33310,46667,72138000,63216,3906000,2840
bretagne.mapgr,142496,43684,233843000,83291,54832000,28736
bretagne.mapgr,22860,626826,112370000,79600,15588000,10751
bretagne.mapgr,404680,409758,37418000,42458,14788000,10551
bretagne.mapgr,421072,240787,40590000,40879,7745000,5593
bretagne.mapgr,598581,222016,184270000,58809,11152000,7789
bretagne.mapgr,456273,632143,98102000,81387,3687000,3112
bretagne.mapgr,326600,585615,337508000,172592,84672000,69460
bretagne.mapgr,501742,541326,43849000,49112,13339000,11915
bretagne.mapgr,159729,242205,122880000,52225,172805000,1546812
bretagne.mapgr,199093,115963,20065000,32112,9418000,9541
bretagne.mapgr,452720,81608,78475000,73621,19560000,14686
bretagne.mapgr,436129,32781,57126000,51644,15122000,13202
bretagne.mapgr,599988,183140,83646000,180521,75533000,30975
bretagne.mapgr,400803,39117,92886000,78966,9204000,8511
bretagne.mapgr,267186,329852,119007000,86246,6540000,7420
bretagne.mapgr,625155,580421,72986000,67377,12935000,13875
bretagne.mapgr,45523,72086,180611000,210443,139974000,66269
bretagne.mapgr,648798,375275,24779000,31733,4265000,2913
bretagne.mapgr,585065,211702,96228000,88954,15279000,15708
bretagne.mapgr,440668,301409,44460000,39868,8224000,7534
bretagne.mapgr,286113,281484,130091000,221430,85779000,53176
bretagne.mapgr,369000,22744,97405000,92015,13638000,8403
bretagne.mapgr,58668,505942,21450000,33238,7874000,8378
bretagne.mapgr,100455,26088,5110000,9670,1478000,1171
bretagne.mapgr,351985,599811,135587000,92913,13231000,10299
bretagne.mapgr,661629,352629,35972000,52576,6742000,6769
bretagne.mapgr,374758,325309,87488000,87764,7073000,7923
bretagne.mapgr,618766,324685,86752000,217664,42905000,62985
bretagne.mapgr,661305,347894,241108000,184454,59056000,61393
bretagne.mapgr,652319,84941,42399000,43194,5020000,4001
bretagne.mapgr,29662,601219,79117000,173244,39821000,30248
bretagne.mapgr,139666,641194,69047000,66386,7037000,7613
bretagne.mapgr,8668,410561,71241000,218934,111759000,74718
bretagne.mapgr,96236,214834,188315000,128427,40519000,22850
bretagne.mapgr,356976,507783,43767000,48605,9808000,9702
bretagne.mapgr,515292,235630,126966000,59223,9296000,8451
bretagne.mapgr,129218,372948,91079000,199349,20141000,12686
bretagne.mapgr,199110,435188,131803000,63621,19424000,16461
