Carte,Origine,Destination,Temps CPU Dijkstra (en ns), Nb Sommets, Temps CPU A* (en ns), Nb Sommets
bretagne.mapgr,255734,299833,113680000,1417184,386600000,268541
bretagne.mapgr,465277,363939,986522000,1428458,678588000,294587
bretagne.mapgr,290667,617893,310296000,1165291,610531000,300376
bretagne.mapgr,194942,456362,902795000,1122389,132737000,228225
bretagne.mapgr,1299,580573,394184000,1430053,685502000,276507
bretagne.mapgr,643542,214003,735923000,1370323,899851000,296259
bretagne.mapgr,362258,230540,103115000,1198827,570572000,273082
bretagne.mapgr,66105,583886,274216000,1353175,581923000,305025
bretagne.mapgr,66601,17920,757993000,1426043,359972000,223773
bretagne.mapgr,582189,311493,465227000,1413309,877443000,363279
bretagne.mapgr,609961,770,555491000,1239404,515687000,285356
bretagne.mapgr,331481,494862,226891000,1119998,984376000,186325
bretagne.mapgr,259062,457771,498094000,1266360,932317000,201820
bretagne.mapgr,522571,314875,219187000,1222535,24675000,214850
bretagne.mapgr,191062,239533,824259000,996233,920791000,368846
bretagne.mapgr,501371,108285,430766000,1080081,14202000,556852
bretagne.mapgr,242831,138952,937632000,1288179,770881000,269713
bretagne.mapgr,402353,401074,278843000,1474971,485141000,240162
bretagne.mapgr,518530,453927,324613000,1535850,909861000,382363
bretagne.mapgr,145201,356617,986805000,953256,298501000,231243
bretagne.mapgr,446022,293131,708985000,1386415,295990000,228737
bretagne.mapgr,168611,428553,133620000,952560,386799000,186309
bretagne.mapgr,660504,357056,406893000,946513,250767000,289874
bretagne.mapgr,224207,388675,147785000,1065476,831710000,441163
bretagne.mapgr,113118,369298,453450000,1490984,232259000,290819
bretagne.mapgr,91425,130790,356452000,1064396,661564000,317798
bretagne.mapgr,71420,70145,66995000,1469627,57864000,360516
bretagne.mapgr,130302,98651,148902000,1003083,693802000,369816
bretagne.mapgr,61340,232786,84526000,1178223,42682000,197540
bretagne.mapgr,631720,268485,958253000,1092057,986857000,466513
bretagne.mapgr,127986,238684,821382000,1155553,853603000,413641
bretagne.mapgr,378639,434242,43012000,1374737,670215000,302141
bretagne.mapgr,378254,591303,352560000,1220016,561908000,300620
bretagne.mapgr,608416,576550,644011000,1518591,438611000,248004
bretagne.mapgr,69424,528463,953476000,1047376,753677000,171908
bretagne.mapgr,216922,272528,384852000,1079067,438767000,279946
bretagne.mapgr,472456,377785,449564000,993492,319421000,266696
bretagne.mapgr,18616,221882,37752000,1019673,153699000,197886
bretagne.mapgr,193492,395495,834746000,1308376,240864000,257635
bretagne.mapgr,132722,429554,112950000,1141609,777660000,161889
bretagne.mapgr,172103,152950,203446000,1370813,450825000,281879
bretagne.mapgr,136221,505976,835170000,1436711,641240000,303898
bretagne.mapgr,4813,270483,160832000,1100451,350311000,284339
bretagne.mapgr,68434,420259,669396000,1016569,89512000,369213
bretagne.mapgr,145018,63267,508943000,1367443,789460000,312766
bretagne.mapgr,266408,508657,695422000,1255133,721636000,274895
bretagne.mapgr,571822,309965,433144000,1476893,772441000,348498
bretagne.mapgr,574680,216253,265833000,1498884,880861000,230464
bretagne.mapgr,291697,206562,442212000,1085255,404915000,262210
bretagne.mapgr,543605,492981,501678000,1476499,582883000,317420
bretagne.mapgr,434717,97349,587606000,1192364,389650000,256657
bretagne.mapgr,467067,557897,474176000,1387107,53775000,213416
bretagne.mapgr,99251,514751,951426000,1406936,414612000,273115
bretagne.mapgr,523570,606541,360976000,1300398,632593000,285846
bretagne.mapgr,357239,318130,281620000,1373881,417691000,1546813
bretagne.mapgr,87440,499243,695678000,1124018,92434000,189113
bretagne.mapgr,644331,546790,46594000,1461330,493818000,277756
bretagne.mapgr,270930,21213,281093000,1424048,923561000,362626
bretagne.mapgr,464853,210972,759832000,1419980,222599000,208463
bretagne.mapgr,251729,623049,449671000,1292673,283738000,234862
bretagne.mapgr,246456,174475,583186000,1068018,715653000,311414
bretagne.mapgr,601074,219615,454636000,1448591,670161000,337002
bretagne.mapgr,437366,430650,232264000,1481870,959124000,331646
bretagne.mapgr,484752,218967,452657000,1168339,513830000,284355
bretagne.mapgr,132014,127182,65198000,1421989,247923000,266743
bretagne.mapgr,144546,149789,55248000,1182637,253665000,219214
bretagne.mapgr,280824,516640,248144000,918650,531816000,316034
bretagne.mapgr,216886,486070,257587000,997993,49419000,218297
bretagne.mapgr,152757,180259,770691000,1389290,742280000,359254
bretagne.mapgr,586923,80564,577744000,1213817,552063000,291396
bretagne.mapgr,255846,534808,85811000,1453083,64417000,364296
bretagne.mapgr,302896,660512,761209000,945516,630971000,366587
bretagne.mapgr,407588,199876,583430000,1186038,449684000,274924
bretagne.mapgr,252539,354915,422644000,1499922,794846000,369677
bretagne.mapgr,104435,505998,143738000,1442926,532658000,297585
bretagne.mapgr,228928,96884,819351000,1308856,463160000,281724
bretagne.mapgr,257986,597328,290225000,871815,555256000,334305
bretagne.mapgr,222470,616197,115376000,1202843,204963000,273171
bretagne.mapgr,644302,437985,249161000,1443191,495191000,296610
bretagne.mapgr,582793,357776,502528000,1025224,867635000,369282
bretagne.mapgr,584753,416576,489825000,949068,287921000,301853
bretagne.mapgr,554548,619431,318441000,1225688,979016000,231290
bretagne.mapgr,238432,166567,128384000,1260639,187188000,233825
bretagne.mapgr,217668,658895,605596000,1030832,768595000,395163
bretagne.mapgr,93538,163097,135833000,1458401,686972000,343156
bretagne.mapgr,62218,143487,562370000,1500439,400929000,241237
bretagne.mapgr,236220,343469,420779000,1020080,475821000,248242
bretagne.mapgr,505094,130426,4036000,1410852,947736000,185530
bretagne.mapgr,16528,13568,658153000,1248077,788345000,169869
bretagne.mapgr,327888,315093,614501000,1299662,445671000,247571
bretagne.mapgr,517923,581769,696782000,1358500,469492000,257502
bretagne.mapgr,296303,404430,773700000,1172609,168173000,338718
bretagne.mapgr,273336,424894,433735000,969404,334604000,270763
bretagne.mapgr,285776,186027,296747000,1159176,117053000,213828
bretagne.mapgr,516468,267946,992374000,1216972,955607000,383028
bretagne.mapgr,562199,26414,382403000,1440190,646009000,276799
bretagne.mapgr,476811,7482,404846000,999370,160745000,246284
bretagne.mapgr,660349,583253,964941000,1006798,607566000,438059
bretagne.mapgr,387264,562086,896156000,1472465,75641000,287412
bretagne.mapgr,147530,398937,984854000,1508851,641540000,309723
bretagne.mapgr,34904,165820,443373000,1413386,761941000,345135
bretagne.mapgr,383431,618102,266886000,1085300,801848000,535736
bretagne.mapgr,431864,562161,805083000,1032998,756740000,286384
bretagne.mapgr,48987,52295,842526000,1076251,489082000,346319
bretagne.mapgr,596178,110014,89150000,1287118,303739000,273208
bretagne.mapgr,570272,105624,906902000,1123290,399167000,340148
bretagne.mapgr,18861,170017,509879000,953622,837000000,347998
bretagne.mapgr,88905,89928,107210000,1353860,265617000,257874
bretagne.mapgr,377126,215994,632251000,1334355,429824000,275515
bretagne.mapgr,618426,43553,931513000,1433652,765518000,173189
bretagne.mapgr,202497,45118,319553000,1434265,192690000,231518
bretagne.mapgr,427445,190623,582782000,1081678,69395000,223050
bretagne.mapgr,562560,488353,895655000,1050006,515367000,332895
bretagne.mapgr,101315,207279,851422000,1203198,401940000,355781
bretagne.mapgr,198712,456229,118088000,1168550,225674000,218621
bretagne.mapgr,598558,111824,759271000,1108653,523568000,348358
bretagne.mapgr,488309,615592,602391000,812188,650304000,326858
bretagne.mapgr,155398,178642,939006000,995524,575251000,365336
bretagne.mapgr,494280,49630,297751000,1399105,405425000,449847
bretagne.mapgr,75506,562862,326596000,1143284,436093000,244129
bretagne.mapgr,618455,120484,27304000,1506134,769313000,355460
bretagne.mapgr,453891,577891,870276000,1159292,934293000,303302
bretagne.mapgr,191897,103237,906254000,1546224,132007000,338011
bretagne.mapgr,451935,122014,700212000,1372256,849578000,180490
bretagne.mapgr,574493,405494,270776000,1233477,3364000,217083
bretagne.mapgr,175858,329822,956965000,1119640,112031000,214995
bretagne.mapgr,658877,367345,966531000,1497695,17324000,312983
bretagne.mapgr,274360,233253,240798000,1083280,616793000,294631
bretagne.mapgr,658233,207231,552881000,1269665,149392000,208004
bretagne.mapgr,395746,483100,899850000,1046251,744621000,426520
bretagne.mapgr,256107,168739,948146000,1395057,772504000,164983
bretagne.mapgr,94792,627818,476358000,1037511,288702000,286514
bretagne.mapgr,77818,151645,161611000,1421463,798744000,160846
bretagne.mapgr,574644,381948,437071000,1294191,240225000,259277
bretagne.mapgr,633329,164855,307296000,1508186,317390000,402253
bretagne.mapgr,543066,470984,138444000,973933,443549000,272585
bretagne.mapgr,151056,57448,899750000,1249439,60864000,218426
bretagne.mapgr,258682,51945,251407000,817266,785641000,195890
bretagne.mapgr,26270,438215,538258000,977140,428785000,291891
bretagne.mapgr,397013,163005,712897000,1115815,538941000,383803
bretagne.mapgr,574382,22020,555761000,1433562,526135000,285239
bretagne.mapgr,234769,220436,438698000,1192281,42890000,213739
bretagne.mapgr,501075,19461,826292000,1441555,27623000,356512
bretagne.mapgr,388310,144564,850857000,1246417,469805000,402737
bretagne.mapgr,197842,349969,338641000,1142834,215627000,235792
bretagne.mapgr,441686,524569,325672000,1304826,108611000,221196
bretagne.mapgr,661388,355026,262274000,1094629,821344000,283190
bretagne.mapgr,270561,514230,961948000,1413950,330722000,253923
bretagne.mapgr,154180,241792,269039000,1530519,86466000,240754
