Carte,Origine,Destination,Temps CPU Dijkstra (en ns), Nb Sommets, Temps CPU A* (en ns), Nb Sommets
bretagne.mapgr,255734,299833,403944000,1412524,920599000,479198
bretagne.mapgr,465277,363939,274270000,1324440,616171000,549285
bretagne.mapgr,290667,617893,608656000,1194805,805874000,888492
bretagne.mapgr,194942,456362,232319000,977734,22835000,335055
bretagne.mapgr,1299,580573,156575000,1510244,702819000,602015
bretagne.mapgr,643542,214003,613829000,1291707,353077000,499538
bretagne.mapgr,362258,230540,800691000,1277540,622118000,918327
bretagne.mapgr,66105,583886,118881000,1488835,825129000,702993
bretagne.mapgr,66601,17920,929570000,1323534,231812000,487422
bretagne.mapgr,582189,311493,887756000,1309130,626266000,488934
bretagne.mapgr,609961,770,135550000,1297683,508867000,869748
bretagne.mapgr,331481,494862,260498000,1173367,277313000,830292
bretagne.mapgr,259062,457771,602234000,1215196,623840000,394489
bretagne.mapgr,522571,314875,865158000,1257959,381584000,742663
bretagne.mapgr,191062,239533,502811000,902995,380034000,479229
bretagne.mapgr,501371,108285,154214000,1076868,177579000,718588
bretagne.mapgr,242831,138952,225075000,1350430,507735000,692546
bretagne.mapgr,402353,401074,527562000,1475302,439422000,726440
bretagne.mapgr,518530,453927,518233000,1542260,66106000,840575
bretagne.mapgr,145201,356617,840955000,863439,110571000,316546
bretagne.mapgr,446022,293131,892955000,1296445,930093000,502208
bretagne.mapgr,168611,428553,611940000,995440,4465000,601242
bretagne.mapgr,660504,357056,898341000,915320,103986000,530185
bretagne.mapgr,224207,388675,242451000,980617,902359000,633504
bretagne.mapgr,113118,369298,262842000,1500798,258533000,648601
bretagne.mapgr,91425,130790,787576000,1094341,629420000,682850
bretagne.mapgr,71420,70145,802974000,1414661,380412000,657908
bretagne.mapgr,130302,98651,118890000,935386,464701000,541968
bretagne.mapgr,61340,232786,906750000,1257966,539482000,849117
bretagne.mapgr,631720,268485,715202000,1156383,410546000,935010
bretagne.mapgr,127986,238684,511152000,1168633,741666000,748285
bretagne.mapgr,378639,434242,94062000,1511615,497484000,1071483
bretagne.mapgr,378254,591303,166123000,1245947,50822000,656406
bretagne.mapgr,608416,576550,246963000,1507452,465235000,611477
bretagne.mapgr,69424,528463,63906000,862385,756382000,222689
bretagne.mapgr,216922,272528,577429000,1111663,898420000,638180
bretagne.mapgr,472456,377785,972020000,959176,209147000,556743
bretagne.mapgr,18616,221882,719796000,879575,821531000,323797
bretagne.mapgr,193492,395495,484092000,994950,511827000,290536
bretagne.mapgr,132722,429554,593167000,1036025,994400000,364368
bretagne.mapgr,172103,152950,291125000,1350132,716598000,620934
bretagne.mapgr,136221,505976,484343000,1498649,828956000,911763
bretagne.mapgr,4813,270483,407470000,1088293,181306000,596744
bretagne.mapgr,68434,420259,171130000,979861,439795000,576065
bretagne.mapgr,145018,63267,776748000,1287882,426475000,521587
bretagne.mapgr,266408,508657,985209000,1184156,412091000,600910
bretagne.mapgr,571822,309965,79820000,1544286,116627000,882108
bretagne.mapgr,574680,216253,229284000,1472679,687783000,614128
bretagne.mapgr,291697,206562,225041000,1052953,849275000,498790
bretagne.mapgr,543605,492981,440607000,1403428,931844000,566021
bretagne.mapgr,434717,97349,49861000,1053263,965702000,340254
bretagne.mapgr,467067,557897,751457000,1460967,948577000,872799
bretagne.mapgr,99251,514751,639205000,1303801,679391000,483947
bretagne.mapgr,523570,606541,144294000,1292682,369460000,735837
bretagne.mapgr,357239,318130,209808000,1296110,522960000,1544622
bretagne.mapgr,87440,499243,714200000,1128622,441847000,620167
bretagne.mapgr,644331,546790,313950000,1519354,337339000,729415
