Carte,Origine,Destination,Temps CPU Dijkstra (en ns), Nb Sommets, Temps CPU A* (en ns), Nb Sommets
bretagne.mapgr,107502,357278,220759000,169388,187093000,107408
bretagne.mapgr,588211,607231,316045000,125045,117590000,51055
bretagne.mapgr,61977,650333,180957000,164874,152700000,81893
bretagne.mapgr,595301,380531,437382000,101481,51670000,23167
bretagne.mapgr,400271,164510,189161000,89301,65189000,37512
bretagne.mapgr,224999,484590,277315000,77072,30439000,14097
bretagne.mapgr,92663,27213,191357000,139943,229600000,71430
bretagne.mapgr,572710,622798,202461000,89678,86175000,40102
bretagne.mapgr,308894,268773,316787000,127247,160922000,64400
bretagne.mapgr,70302,202625,397218000,115822,145535000,61941
bretagne.mapgr,425674,411031,94726000,60799,46587000,27668
bretagne.mapgr,71210,443351,346992000,245172,258983000,172749
bretagne.mapgr,103806,105963,259280000,123040,191470000,59972
bretagne.mapgr,625578,79721,256713000,83901,82221000,37035
bretagne.mapgr,544038,441595,365645000,183159,387972000,104045
bretagne.mapgr,326603,295681,370894000,157989,211666000,85541
bretagne.mapgr,103734,116696,60700000,34478,10874000,7799
bretagne.mapgr,380515,132636,584403000,207483,320330000,82579
bretagne.mapgr,143992,314500,160624000,75862,30425000,19310
bretagne.mapgr,626772,306133,350810000,90368,72038000,34881
bretagne.mapgr,75662,270984,198311000,109410,119094000,56892
bretagne.mapgr,252118,623671,213216000,52855,35768000,21899
bretagne.mapgr,467593,226486,81628000,63622,66132000,40556
bretagne.mapgr,441646,487240,242463000,91694,84559000,35981
bretagne.mapgr,15088,93883,255777000,133131,283832000,69453
bretagne.mapgr,433850,202217,160178000,55737,60338000,21292
bretagne.mapgr,12023,147589,260158000,152693,92257000,37782
bretagne.mapgr,124060,610941,338130000,129898,104112000,34784
bretagne.mapgr,472770,423087,214355000,179861,344846000,85849
bretagne.mapgr,345837,46920,197662000,76950,79703000,35988
bretagne.mapgr,536418,88610,153026000,53668,48193000,21708
bretagne.mapgr,151028,331881,166948000,56367,22002000,10272
bretagne.mapgr,475815,26447,262760000,135960,32662000,15249
bretagne.mapgr,538245,604047,431627000,124505,67992000,33343
bretagne.mapgr,569031,65430,94924000,42648,37718000,21283
bretagne.mapgr,380549,598804,96832000,40465,810232000,1544622
bretagne.mapgr,497124,93987,85055000,93407,56657000,27802
bretagne.mapgr,191757,11952,225589000,103032,162974000,41930
bretagne.mapgr,174120,150172,151392000,52795,40629000,15760
bretagne.mapgr,598896,171066,216395000,50469,109519000,25795
bretagne.mapgr,367969,332582,328339000,58285,77880000,33919
bretagne.mapgr,479577,343421,248257000,50096,30919000,11697
bretagne.mapgr,371156,57495,376307000,202377,591492000,130979
bretagne.mapgr,534841,329966,639463000,177180,165126000,46595
bretagne.mapgr,304439,460612,125315000,119327,149081000,53613
bretagne.mapgr,162366,651899,409888000,92147,157171000,47121
bretagne.mapgr,457443,56196,412554000,117740,163718000,50866
bretagne.mapgr,560772,541258,447902000,91402,85364000,36302
bretagne.mapgr,481524,348060,471725000,128835,247661000,53682
bretagne.mapgr,252119,339267,73776000,40805,43924000,21490
bretagne.mapgr,147925,42299,362946000,92959,114640000,40339
bretagne.mapgr,156049,427035,257350000,92884,47485000,25407
bretagne.mapgr,129995,81727,298378000,74589,35558000,17853
bretagne.mapgr,345807,310718,174782000,66787,74569000,33225
bretagne.mapgr,495862,18581,246103000,197996,215726000,91886
bretagne.mapgr,189101,439997,31588000,44976,28092000,13192
bretagne.mapgr,13500,177776,153989000,69687,20628000,10128
bretagne.mapgr,297736,630540,232154000,42025,26677000,13261
bretagne.mapgr,555785,388682,304773000,68345,119263000,32952
bretagne.mapgr,584677,24518,125566000,53730,54404000,23918
bretagne.mapgr,593972,603388,487565000,124405,87951000,38403
bretagne.mapgr,87488,188852,792427000,130899,121598000,27866
bretagne.mapgr,506531,540764,25105000,22083,7154000,7200
bretagne.mapgr,319955,418666,298412000,87174,104728000,41229
bretagne.mapgr,438399,460566,309210000,101265,53853000,28894
bretagne.mapgr,543435,402653,220393000,63498,46068000,32872
bretagne.mapgr,473514,460410,250218000,99699,94529000,47361
bretagne.mapgr,374834,456216,470331000,194116,116448000,49618
bretagne.mapgr,333814,107981,118610000,54857,13668000,11462
bretagne.mapgr,250600,466638,418989000,112899,125824000,48262
bretagne.mapgr,361316,391285,25896000,70374,58384000,40639
bretagne.mapgr,38268,67193,436373000,94133,123160000,45035
bretagne.mapgr,3405,40152,292982000,116649,346053000,75444
bretagne.mapgr,605033,552079,231302000,51319,31901000,19184
bretagne.mapgr,251070,288695,185809000,72698,40548000,21094
bretagne.mapgr,521821,478026,97422000,59766,38487000,25384
bretagne.mapgr,235134,480786,214256000,89282,53319000,32526
bretagne.mapgr,305250,35118,199911000,107954,90326000,40460
bretagne.mapgr,146392,331339,162985000,40911,29500000,15638
bretagne.mapgr,531689,227749,190476000,86228,76671000,37200
bretagne.mapgr,408985,571628,347057000,115436,205375000,25488
bretagne.mapgr,138897,63198,30246000,31000,19057000,16070
bretagne.mapgr,226132,155860,125227000,54779,32206000,17287
bretagne.mapgr,570631,1223,148362000,29290,12805000,12167
bretagne.mapgr,621067,465572,87218000,45701,14516000,11899
bretagne.mapgr,497441,283002,180128000,199913,288959000,101064
bretagne.mapgr,38730,201805,461944000,163056,43659000,27328
bretagne.mapgr,654417,301865,19808000,18498,3296000,2483
bretagne.mapgr,135066,306988,24193000,62034,45342000,28587
bretagne.mapgr,124234,8585,364393000,98797,115993000,51601
bretagne.mapgr,583471,530778,245261000,107790,37946000,20173
bretagne.mapgr,3372,107744,857180000,138449,375209000,1544623
bretagne.mapgr,568224,160322,131923000,197627,133148000,110491
bretagne.mapgr,647165,67971,528589000,91096,185258000,44793
bretagne.mapgr,531171,359809,43281000,67999,207631000,37824
bretagne.mapgr,300489,574164,288426000,114937,83103000,40731
