Carte,Origine,Destination,Temps CPU Dijkstra (en ns), Nb Sommets, Temps CPU A* (en ns), Nb Sommets
bretagne.mapgr,183017,575158,643604000,323961,38726000,110967
bretagne.mapgr,511015,25973,498796000,652447,648668000,165419
bretagne.mapgr,41806,138736,646734000,510727,468263000,226964
bretagne.mapgr,307321,423801,813490000,256952,841034000,149874
bretagne.mapgr,202159,228524,319986000,748124,765206000,153064
bretagne.mapgr,23855,537088,632682000,650454,388358000,295703
bretagne.mapgr,370150,490403,58934000,874033,634617000,315981
bretagne.mapgr,595428,529331,931896000,656476,482720000,274583
bretagne.mapgr,598382,426988,644226000,696494,401950000,301027
bretagne.mapgr,261818,63541,527240000,970842,148701000,216175
bretagne.mapgr,634521,526328,854520000,748379,623898000,156445
bretagne.mapgr,633505,235203,200128000,637503,810552000,168952
bretagne.mapgr,3335,147727,667288000,372170,507148000,152596
bretagne.mapgr,36573,413977,616388000,688563,665819000,1544622
bretagne.mapgr,31684,406444,442063000,486621,329654000,231126
bretagne.mapgr,328567,365293,778709000,442663,552739000,150319
bretagne.mapgr,505037,175650,402975000,847223,253720000,236957
bretagne.mapgr,353250,32540,126788000,676798,100157000,223505
bretagne.mapgr,656774,92710,338596000,1023137,266008000,344503
bretagne.mapgr,359900,230907,281507000,587513,274766000,242039
bretagne.mapgr,191425,232616,209826000,742948,922543000,359539
bretagne.mapgr,386795,138594,855345000,394257,886666000,247761
bretagne.mapgr,325845,471812,421528000,358724,695367000,181406
bretagne.mapgr,139514,362029,676734000,914641,789901000,355466
bretagne.mapgr,445314,63364,620530000,675531,645830000,155013
bretagne.mapgr,37077,254931,891223000,684357,865931000,404921
bretagne.mapgr,436312,222914,364088000,243256,58835000,27656
bretagne.mapgr,526661,286184,164179000,257124,320322000,118864
bretagne.mapgr,536055,372373,639385000,706165,492739000,124720
bretagne.mapgr,553785,168336,318496000,357842,263567000,83227
bretagne.mapgr,436444,417540,154908000,821987,771746000,337651
bretagne.mapgr,501662,87341,228269000,804017,151672000,221918
bretagne.mapgr,376195,296696,152837000,817202,963649000,148688
bretagne.mapgr,537454,565703,872622000,710711,599268000,221183
bretagne.mapgr,230638,518216,938623000,813780,923764000,309609
bretagne.mapgr,646162,359542,526810000,891198,125971000,290185
bretagne.mapgr,655589,393423,255062000,1170415,601510000,384202
bretagne.mapgr,229139,316409,367364000,338943,761848000,1544622
bretagne.mapgr,538867,81213,503801000,343408,817552000,179841
bretagne.mapgr,213068,221753,408803000,631816,698560000,158484
bretagne.mapgr,107640,23486,826542000,352508,583454000,205103
bretagne.mapgr,460113,156193,379968000,448454,505338000,140570
bretagne.mapgr,329762,96005,731817000,494921,5094000,270259
bretagne.mapgr,158460,649549,503955000,201473,323937000,82125
bretagne.mapgr,174435,222381,693502000,725235,793888000,338409
bretagne.mapgr,153090,634509,558532000,361145,391161000,116213
bretagne.mapgr,129696,419694,859155000,623895,873050000,321806
bretagne.mapgr,412789,89692,60664000,270266,356229000,105869
bretagne.mapgr,490703,485524,654064000,617908,360665000,271662
bretagne.mapgr,606660,346621,295384000,452114,616706000,161258
bretagne.mapgr,104658,254764,843660000,350906,393217000,96989
bretagne.mapgr,314740,162142,388527000,613354,683353000,135009
bretagne.mapgr,333256,399914,423929000,741262,257381000,261449
bretagne.mapgr,404873,299034,440592000,977969,930156000,300175
bretagne.mapgr,231164,7215,116427000,929421,228236000,232948
bretagne.mapgr,654647,193279,713278000,988030,568852000,235412
bretagne.mapgr,76627,316000,359661000,436952,735403000,167868
bretagne.mapgr,17236,218904,658505000,470684,608964000,205548
bretagne.mapgr,378426,49785,15309000,237350,133375000,57536
bretagne.mapgr,418354,610680,149987000,412716,463610000,131745
bretagne.mapgr,248183,541583,294484000,184169,68614000,27171
bretagne.mapgr,149655,632284,962914000,624823,305681000,275888
bretagne.mapgr,634671,434815,13100000,902510,218330000,269118
bretagne.mapgr,559804,134658,433499000,792849,710013000,295022
bretagne.mapgr,600641,288395,418333000,534214,367152000,292822
